회사명,채용 제목,근무지,직무 분야
(주)페코,"IT (MES, ERP, 그룹웨어 등) 담당자 영입",서울 성동구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
(주)메디씽큐 ,24년 각 부문 신입 및 경력 채용,경기 성남시 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)포니링크,"㈜포니링크 IT 사업부, 자율주행사업부, 해외패션사업부, 경영기획본부 등 각 본부 채용",서울 영등포구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)아이엠폼,[경력] 웹 서비스 아키텍처 PM/PL 모집,서울 강남구,"백엔드/서버개발, 앱개발, 웹개발, 정보보안, 프론트엔드"
(주)위펀,(주)위펀 - Backend Engineer,서울 강남구 외,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
(주)스카이오토넷,(주)스카이오토넷 - 영상처리 개발자(병역특례가능),서울 서초구 외,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 정보보안"
(주)스카이오토넷,자율주행S/W 개발자 채용,서울 서초구 외,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 정보보안"
(주)이지스,3차원 시각화 연구&개발 채용(부산 기술 연구소),부산 해운대구,"게임개발, 기술지원, 데이터분석가, 데이터엔지니어, 앱개발"
㈜에스피시스템스,에스피시스템스 전산 유지보수 담당 신입/경력직 채용,경남 양산시,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 유지보수"
(주)한맥기술,[한맥가족] 기술개발센터 AI 개발자 (경력) 채용,서울 송파구,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 웹개발"
이오테크닉스,(주)이오테크닉스 개발자 모집 (AI분야),경기 안양시 동안구,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 유지보수"
(주)소타텍코리아,[IT팀리더] Technical Leader (테크 리드) 채용,서울 강남구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)시스콘로보틱스,Robotics ACS Core 개발 파트,인천 서구 외,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터"
티맵모빌리티(주),"[티맵모빌리티] 개발자 채용 (CE,BE,DevOps,Search,DA,개발PM)",서울 중구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 프론트엔드"
(주)앤솔루션,KEPCO 협력사 앤솔루션에서 Web/App 개발자 모집,전남 나주시,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)엔디소프트,[NDSOFT] 글로벌소셜앱 PM 부문 채용공고,부산 해운대구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)덴컴,[음성 AI 기업 덴컴] 백엔드 개발 팀장 채용,서울 강남구 외,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터"
람정제주개발(주),제주신화월드 IT 부문 정규직 모집,제주 서귀포시,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)클로잇,[클로잇] 엔터프라이즈산업 경력직 공개채용,서울 중구,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발"
(주)엔디소프트,[NDSOFT] 글로벌소셜앱 AI/데이터 부문 채용공고,부산 해운대구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)엔디소프트,[NDSOFT] 글로벌소셜앱 개발자 부문 채용공고,부산 해운대구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)중외정보기술,[중외정보기술]  서버/ 시스템운영 관리 담당자 (SM) 모집,경기 과천시 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수"
(주)중외정보기술,[중외정보기술]  네트워크 운영/ 관리 담당자 (SM) 모집,경기 과천시,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 유지보수"
청목법무사사무소,법무사사무소 CPA·DB 마케팅 (개인회생/파산) 개발자 모집합,경기 고양시 일산서구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발"
(주)수산아이앤티,[수산그룹] 수산INT 하반기 채용 (영업/개발직군 등),서울 강남구 외,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅"
메이저월드(주),2024년 하반기 정시 채용(신입/경력),서울 송파구 외,"백엔드/서버개발, 앱개발, 웹개발, SE(시스템엔지니어), DBMS"
아우토크립트(주),윈도우 어플리케이션 개발자(팀장급),서울 영등포구,"앱개발, 프론트엔드, 네트워크, Windows, C#"
주식회사 핌아시아,[핌아시아 떠리몰] 이커머스 MD/개발/서비스기획/마케팅/디자인,서울 강남구 외,"데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드"
옐로시스(주),알고리즘 및 프론트엔드 개발자,대구전체 외,"데이터분석가, 웹개발, 프론트엔드, DBA, 딥러닝"
(주)지아이티,현대자동차그룹 (주)지아이티 연구소/사업실 대규모 수시채용,서울 송파구 외,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
(주)벳플럭스,React 프론트 엔드 개발자,서울 강남구 외,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드"
(주)큐노바,[R&D/제품개발/자금회계] 부문별 신입/경력 채용,대전 유성구 외,"데이터분석가, 데이터엔지니어, 딥러닝, 모델링, 빅데이터"
비젠트로(주),(삼성SDS분사社) 비젠트로㈜ 하반기 채용,경기 성남시 외,"보안컨설팅, 정보보안, 프론트엔드, 솔루션, 인프라"
넛지헬스케어(주),[넛지헬스케어] iOS개발 채용전환형 인턴,서울 강남구,"앱개발, 웹개발, 유지보수, 프론트엔드, Flutter"
넛지헬스케어(주),[넛지헬스케어] 백엔드개발 채용전환형 인턴,서울 강남구,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수"
(주)위즈코리아,"㈜위즈코리아/㈜위즈COK SE(시스템 엔지니어), PM 채용",서울 강서구 외,"백엔드/서버개발, 웹개발, 유지보수, 정보보안, 솔루션"
피에프씨테크놀로지스(주),보안엔지니어 (security engineer)(경력5~10년),서울 서초구 외,"백엔드/서버개발, 보안컨설팅, 웹개발, 정보보안, 프론트엔드"
(주)라이프오아시스,React-Native 개발 / 3년 이상,서울 성동구 외,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, 인프라"
"주식회사불마켓랩스(BullMarketLabsCo.,Ltd.)",Front-End Engineer,서울 강남구 외,"앱개발, 웹개발, 프론트엔드, Android, ECMAScript"
(주)에스제이엠엔씨,OTT 기술/서비스 기획 신입/경력 채용,서울 송파구 외,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, SE(시스템엔지니어)"
시네온티브이(주),OTT 기술/서비스 기획 신입/경력 채용,서울 송파구 외,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, SE(시스템엔지니어)"
(주)아정네트웍스,[아정당] 강남 UI/UX 디자이너 (7년~리더급),서울 강남구,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드"
예진(주),경력직 웹프로그래머 채용,서울 송파구,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드"
행복쇼핑(주),[재택근무] REACT · PHP · PYTHON 개발자 모집,서울 양천구,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드"
(주)케이몬즈,[모집분야] 케이몬즈에서 풀스택 개발자 모집합니다.,서울 성동구,"백엔드/서버개발, 앱개발, 웹개발, 개발PM, 프론트엔드"
(주)매치게이트,신규 프로젝트(웹/앱) 풀스택 개발자 적극 채용,서울 강남구,"앱개발, 웹개발, 풀스택, 프론트엔드, AWS"
(주)엠씨비글로벌컨설팅,React 앱개발자 모집 (풀스택 가능자 우대),서울 서초구,"앱개발, 프론트엔드, API, AWS, Git"
(주)아이케미스트,[아이케미스트] React-Native  프론트엔드 개발자 (신입/경력),서울 금천구,"앱개발, 프론트엔드, S/W, 클라이언트, 유지보수"
(주)아이피윈,AI 및 코딩 인력 채용-IPWIN에서 미래를 혁신할 인재를 찾습니다,경기 성남시 수정구,"데이터분석가, 딥러닝, 머신러닝, AI(인공지능), 코딩"
(주)더줌코리아,[캐시워크 자회사] 프론트엔드개발 산업기능요원,서울 강남구,"앱개발, 웹개발, 프론트엔드, API, 인터페이스"
(주)더줌코리아,[캐시워크 자회사] 풀스택 산업기능요원,서울 강남구,"앱개발, 웹개발, 프론트엔드, API, GraphQL"
(주)서지너스,프론트엔드 / 앱 개발자 모집,경기 안양시 동안구,"앱개발, 임베디드, 펌웨어, FPGA, H/W"
(주)에스지엘,[경력직] 헬스케어어플 ios 프론트엔드 개발자 모집,서울 금천구,"앱개발, 유지보수, 퍼블리셔, 프론트엔드, SI개발"
(주)이안,[웹개발자] ICT 디지털트윈 분야 웹개발 경력직 모집,서울 금천구,"백엔드/서버개발, 앱개발, 웹개발, 개발PM, 유지보수"
(주)케이엘피,파이썬(Python) 백엔드 개발자 모십니다,서울 강남구,"백엔드/서버개발, 앱개발, 프론트엔드, Android, C#"
(주)케이엘피,유니티(Unity) 프론트엔드 개발자 모십니다,서울 강남구,"게임개발, 앱개발, 프론트엔드, API, Android"
(주)꿈선생,[DealMakers] 데이터 사이언티스트 모집,부산 남구,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 데이터시각화, 딥러닝"
(주)크리에이티브소프트,JAVA 서버 신입/경력 개발자 지원 부분,서울 동작구,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, HTML"
(주)피엠그로우,[피엠그로우] 데이터 사이언티스트 채용 (전기차 배터리),서울 서초구,"데이터분석가, 데이터엔지니어, 데이터시각화, 딥러닝, 머신러닝"
(주)서르,[(주)서르] 프론트엔드 개발자 채용공고,부산 동구,"앱개발, 웹개발, 프론트엔드, CSS, Git"
(주)에듀서브,[민트영어] 프로그램팀 개발파트 인재 채용,서울 구로구,"앱개발, 웹개발, 유지보수, 프론트엔드, Android"
카사요(주),카사요(주) 프론트엔드 개발자 실력 3년 이상 경력 직원 채용,서울 성동구 외,"앱개발, 웹개발, 유지보수, 퍼블리셔, 프론트엔드"
하마랩(주),프론트엔드 개발자(5년 이상),경기전체 외,"앱개발, 웹개발, 프론트엔드, Android, ECMAScript"
